job_id,posting_date,application_deadline,days_to_deadline,verified_post,screening_process,application_method,view_count,fraudulent
1,2024-01-01,2024-01-11,10,False,Unclear,Third-party,191,0
2,2024-01-02,2024-01-10,8,False,Unclear,Third-party,275,0
3,2024-01-03,2024-01-13,10,True,Unclear,Unspecified,102,0
4,2024-01-04,2024-01-12,8,False,Unclear,Unspecified,192,0
5,2024-01-05,2024-01-13,8,True,Unclear,Unspecified,210,0
6,2024-01-06,2024-01-16,10,False,Unclear,Email,94,0
7,2024-01-07,2024-01-12,5,False,Unclear,Email,52,0
8,2024-01-08,2024-01-18,10,False,None,Email,109,0
9,2024-01-09,2024-01-14,5,False,Unclear,Third-party,142,0
10,2024-01-10,2024-01-16,6,True,Unclear,Unspecified,29,0
11,2024-01-11,2024-01-21,10,False,None,Third-party,194,0
12,2024-01-12,2024-01-17,5,False,None,Email,96,0
13,2024-01-13,2024-01-19,6,True,None,Third-party,132,0
14,2024-01-14,2024-01-20,6,False,Unclear,Third-party,72,0
15,2024-01-15,2024-01-24,9,False,None,Third-party,111,0
16,2024-01-16,2024-01-24,8,False,None,Email,26,0
17,2024-01-17,2024-01-23,6,False,None,Email,239,0
18,2024-01-18,2024-01-25,7,False,None,Email,148,0
19,2024-01-19,2024-01-26,7,False,Unclear,Email,214,0
20,2024-01-20,2024-01-23,3,True,None,Unspecified,69,0
21,2024-01-21,2024-01-28,7,False,Unclear,Email,275,0
22,2024-01-22,2024-01-30,8,True,None,Unspecified,187,0
23,2024-01-23,2024-01-26,3,True,None,Email,91,0
24,2024-01-24,2024-01-29,5,False,Unclear,Email,97,0
25,2024-01-25,2024-01-29,4,False,Unclear,Email,274,0
26,2024-01-26,2024-01-29,3,False,Unclear,Third-party,187,0
27,2024-01-27,2024-01-30,3,False,None,Third-party,273,0
28,2024-01-28,2024-02-03,6,False,Unclear,Unspecified,191,0
29,2024-01-29,2024-02-02,4,False,Unclear,Email,66,0
30,2024-01-30,2024-02-07,8,True,None,Third-party,45,0
31,2024-01-31,2024-02-05,5,False,Unclear,Third-party,166,0
